node_id,topology,hop_count,payload_bytes,algorithm,algo_type,operation,security_level,cycles,time_us,energy_uj,energy_mj
9,star,1,100,DILITHIUM2,SIG,ENCAP_SIGN,2,4900000,153125,10106,10.106
5,star,1,100,KYBER768,KEM,KEYGEN,3,2600000,81250,5362,5.362
6,star,1,100,DILITHIUM3,SIG,KEYGEN,3,3500000,109375,7218,7.218
2,star,1,100,DILITHIUM2,SIG,KEYGEN,2,2200000,68750,4537,4.537
8,star,1,100,KYBER768,KEM,DECAP_VERIFY,3,3100000,96875,6393,6.393
3,star,1,100,DILITHIUM2,SIG,DECAP_VERIFY,2,2300000,71875,4743,4.743
7,star,1,100,DILITHIUM3,SIG,ENCAP_SIGN,3,7800000,243750,16087,16.087
4,star,1,100,KYBER768,KEM,ENCAP_SIGN,3,2900000,90625,5981,5.981
9,star,1,100,DILITHIUM2,SIG,DECAP_VERIFY,2,2300000,71875,4743,4.743
5,star,1,100,KYBER768,KEM,ENCAP_SIGN,3,2900000,90625,5981,5.981
6,star,1,100,DILITHIUM3,SIG,ENCAP_SIGN,3,7800000,243750,16087,16.087
2,star,1,100,DILITHIUM2,SIG,ENCAP_SIGN,2,4900000,153125,10106,10.106
8,star,1,100,KYBER1024,KEM,KEYGEN,5,3700000,115625,7631,7.631
3,star,1,100,DILITHIUM3,SIG,KEYGEN,3,3500000,109375,7218,7.218
7,star,1,100,DILITHIUM3,SIG,DECAP_VERIFY,3,3700000,115625,7631,7.631
4,star,1,100,KYBER768,KEM,DECAP_VERIFY,3,3100000,96875,6393,6.393
9,star,1,100,DILITHIUM3,SIG,KEYGEN,3,3500000,109375,7218,7.218
5,star,1,100,KYBER768,KEM,DECAP_VERIFY,3,3100000,96875,6393,6.393
6,star,1,100,DILITHIUM3,SIG,DECAP_VERIFY,3,3700000,115625,7631,7.631
2,star,1,100,DILITHIUM2,SIG,DECAP_VERIFY,2,2300000,71875,4743,4.743
8,star,1,100,KYBER1024,KEM,ENCAP_SIGN,5,4100000,128125,8456,8.456
3,star,1,100,DILITHIUM3,SIG,ENCAP_SIGN,3,7800000,243750,16087,16.087
7,star,1,100,DILITHIUM5,SIG,KEYGEN,5,5000000,156250,10312,10.312
4,star,1,100,KYBER1024,KEM,KEYGEN,5,3700000,115625,7631,7.631
9,star,1,100,DILITHIUM3,SIG,ENCAP_SIGN,3,7800000,243750,16087,16.087
5,star,1,100,KYBER1024,KEM,KEYGEN,5,3700000,115625,7631,7.631
6,star,1,100,DILITHIUM5,SIG,KEYGEN,5,5000000,156250,10312,10.312
2,star,1,100,DILITHIUM3,SIG,KEYGEN,3,3500000,109375,7218,7.218
8,star,1,100,KYBER1024,KEM,DECAP_VERIFY,5,4400000,137500,9075,9.075
3,star,1,100,DILITHIUM3,SIG,DECAP_VERIFY,3,3700000,115625,7631,7.631
7,star,1,100,DILITHIUM5,SIG,ENCAP_SIGN,5,11000000,343750,22687,22.687
4,star,1,100,KYBER1024,KEM,ENCAP_SIGN,5,4100000,128125,8456,8.456
9,star,1,100,DILITHIUM3,SIG,DECAP_VERIFY,3,3700000,115625,7631,7.631
5,star,1,100,KYBER1024,KEM,ENCAP_SIGN,5,4100000,128125,8456,8.456
6,star,1,100,DILITHIUM5,SIG,ENCAP_SIGN,5,11000000,343750,22687,22.687
2,star,1,100,DILITHIUM3,SIG,ENCAP_SIGN,3,7800000,243750,16087,16.087
8,star,1,100,DILITHIUM2,SIG,KEYGEN,2,2200000,68750,4537,4.537
3,star,1,100,DILITHIUM5,SIG,KEYGEN,5,5000000,156250,10312,10.312
7,star,1,100,DILITHIUM5,SIG,DECAP_VERIFY,5,5300000,165625,10931,10.931
4,star,1,100,KYBER1024,KEM,DECAP_VERIFY,5,4400000,137500,9075,9.075
9,star,1,100,DILITHIUM5,SIG,KEYGEN,5,5000000,156250,10312,10.312
5,star,1,100,KYBER1024,KEM,DECAP_VERIFY,5,4400000,137500,9075,9.075
6,star,1,100,DILITHIUM5,SIG,DECAP_VERIFY,5,5300000,165625,10931,10.931
2,star,1,100,DILITHIUM3,SIG,DECAP_VERIFY,3,3700000,115625,7631,7.631
8,star,1,100,DILITHIUM2,SIG,ENCAP_SIGN,2,4900000,153125,10106,10.106
3,star,1,100,DILITHIUM5,SIG,ENCAP_SIGN,5,11000000,343750,22687,22.687
7,star,1,100,FALCON512,SIG,KEYGEN,1,10000000,312500,20625,20.625
4,star,1,100,DILITHIUM2,SIG,KEYGEN,2,2200000,68750,4537,4.537
9,star,1,100,DILITHIUM5,SIG,ENCAP_SIGN,5,11000000,343750,22687,22.687
5,star,1,100,DILITHIUM2,SIG,KEYGEN,2,2200000,68750,4537,4.537
6,star,1,100,FALCON512,SIG,KEYGEN,1,10000000,312500,20625,20.625
2,star,1,100,DILITHIUM5,SIG,KEYGEN,5,5000000,156250,10312,10.312
8,star,1,100,DILITHIUM2,SIG,DECAP_VERIFY,2,2300000,71875,4743,4.743
3,star,1,100,DILITHIUM5,SIG,DECAP_VERIFY,5,5300000,165625,10931,10.931
7,star,1,100,FALCON512,SIG,ENCAP_SIGN,1,3000000,93750,6187,6.187
4,star,1,100,DILITHIUM2,SIG,ENCAP_SIGN,2,4900000,153125,10106,10.106
9,star,1,100,DILITHIUM5,SIG,DECAP_VERIFY,5,5300000,165625,10931,10.931
5,star,1,100,DILITHIUM2,SIG,ENCAP_SIGN,2,4900000,153125,10106,10.106
6,star,1,100,FALCON512,SIG,ENCAP_SIGN,1,3000000,93750,6187,6.187
2,star,1,100,DILITHIUM5,SIG,ENCAP_SIGN,5,11000000,343750,22687,22.687
8,star,1,100,DILITHIUM3,SIG,KEYGEN,3,3500000,109375,7218,7.218
3,star,1,100,FALCON512,SIG,KEYGEN,1,10000000,312500,20625,20.625
7,star,1,100,FALCON512,SIG,DECAP_VERIFY,1,700000,21875,1443,1.443
4,star,1,100,DILITHIUM2,SIG,DECAP_VERIFY,2,2300000,71875,4743,4.743
9,star,1,100,FALCON512,SIG,KEYGEN,1,10000000,312500,20625,20.625
5,star,1,100,DILITHIUM2,SIG,DECAP_VERIFY,2,2300000,71875,4743,4.743
6,star,1,100,FALCON512,SIG,DECAP_VERIFY,1,700000,21875,1443,1.443
2,star,1,100,DILITHIUM5,SIG,DECAP_VERIFY,5,5300000,165625,10931,10.931
8,star,1,100,DILITHIUM3,SIG,ENCAP_SIGN,3,7800000,243750,16087,16.087
3,star,1,100,FALCON512,SIG,ENCAP_SIGN,1,3000000,93750,6187,6.187
7,star,1,100,FALCON1024,SIG,KEYGEN,5,20000000,625000,41250,41.25
4,star,1,100,DILITHIUM3,SIG,KEYGEN,3,3500000,109375,7218,7.218
9,star,1,100,FALCON512,SIG,ENCAP_SIGN,1,3000000,93750,6187,6.187
5,star,1,100,DILITHIUM3,SIG,KEYGEN,3,3500000,109375,7218,7.218
6,star,1,100,FALCON1024,SIG,KEYGEN,5,20000000,625000,41250,41.25
2,star,1,100,FALCON512,SIG,KEYGEN,1,10000000,312500,20625,20.625
8,star,1,100,DILITHIUM3,SIG,DECAP_VERIFY,3,3700000,115625,7631,7.631
3,star,1,100,FALCON512,SIG,DECAP_VERIFY,1,700000,21875,1443,1.443
7,star,1,100,FALCON1024,SIG,ENCAP_SIGN,5,5800000,181250,11962,11.962
4,star,1,100,DILITHIUM3,SIG,ENCAP_SIGN,3,7800000,243750,16087,16.087
9,star,1,100,FALCON512,SIG,DECAP_VERIFY,1,700000,21875,1443,1.443
5,star,1,100,DILITHIUM3,SIG,ENCAP_SIGN,3,7800000,243750,16087,16.087
6,star,1,100,FALCON1024,SIG,ENCAP_SIGN,5,5800000,181250,11962,11.962
2,star,1,100,FALCON512,SIG,ENCAP_SIGN,1,3000000,93750,6187,6.187
8,star,1,100,DILITHIUM5,SIG,KEYGEN,5,5000000,156250,10312,10.312
3,star,1,100,FALCON1024,SIG,KEYGEN,5,20000000,625000,41250,41.25
7,star,1,100,FALCON1024,SIG,DECAP_VERIFY,5,1300000,40625,2681,2.681
4,star,1,100,DILITHIUM3,SIG,DECAP_VERIFY,3,3700000,115625,7631,7.631
9,star,1,100,FALCON1024,SIG,KEYGEN,5,20000000,625000,41250,41.25
5,star,1,100,DILITHIUM3,SIG,DECAP_VERIFY,3,3700000,115625,7631,7.631
6,star,1,100,FALCON1024,SIG,DECAP_VERIFY,5,1300000,40625,2681,2.681
2,star,1,100,FALCON512,SIG,DECAP_VERIFY,1,700000,21875,1443,1.443
8,star,1,100,DILITHIUM5,SIG,ENCAP_SIGN,5,11000000,343750,22687,22.687
3,star,1,100,FALCON1024,SIG,ENCAP_SIGN,5,5800000,181250,11962,11.962
7,star,1,100,SPHINCS128,SIG,KEYGEN,1,9000000,281250,18562,18.562
4,star,1,100,DILITHIUM5,SIG,KEYGEN,5,5000000,156250,10312,10.312
9,star,1,100,FALCON1024,SIG,ENCAP_SIGN,5,5800000,181250,11962,11.962
5,star,1,100,DILITHIUM5,SIG,KEYGEN,5,5000000,156250,10312,10.312
6,star,1,100,SPHINCS128,SIG,KEYGEN,1,9000000,281250,18562,18.562
2,star,1,100,FALCON1024,SIG,KEYGEN,5,20000000,625000,41250,41.25
8,star,1,100,DILITHIUM5,SIG,DECAP_VERIFY,5,5300000,165625,10931,10.931
3,star,1,100,FALCON1024,SIG,DECAP_VERIFY,5,1300000,40625,2681,2.681
7,star,1,100,SPHINCS128,SIG,ENCAP_SIGN,1,200000000,6250000,412500,412.5
4,star,1,100,DILITHIUM5,SIG,ENCAP_SIGN,5,11000000,343750,22687,22.687
9,star,1,100,FALCON1024,SIG,DECAP_VERIFY,5,1300000,40625,2681,2.681
5,star,1,100,DILITHIUM5,SIG,ENCAP_SIGN,5,11000000,343750,22687,22.687
6,star,1,100,SPHINCS128,SIG,ENCAP_SIGN,1,200000000,6250000,412500,412.5
2,star,1,100,FALCON1024,SIG,ENCAP_SIGN,5,5800000,181250,11962,11.962
8,star,1,100,FALCON512,SIG,KEYGEN,1,10000000,312500,20625,20.625
3,star,1,100,SPHINCS128,SIG,KEYGEN,1,9000000,281250,18562,18.562
7,star,1,100,SPHINCS128,SIG,DECAP_VERIFY,1,8000000,250000,16500,16.5
4,star,1,100,DILITHIUM5,SIG,DECAP_VERIFY,5,5300000,165625,10931,10.931
9,star,1,100,SPHINCS128,SIG,KEYGEN,1,9000000,281250,18562,18.562
5,star,1,100,DILITHIUM5,SIG,DECAP_VERIFY,5,5300000,165625,10931,10.931
6,star,1,100,SPHINCS128,SIG,DECAP_VERIFY,1,8000000,250000,16500,16.5
2,star,1,100,FALCON1024,SIG,DECAP_VERIFY,5,1300000,40625,2681,2.681
8,star,1,100,FALCON512,SIG,ENCAP_SIGN,1,3000000,93750,6187,6.187
3,star,1,100,SPHINCS128,SIG,ENCAP_SIGN,1,200000000,6250000,412500,412.5
7,star,1,100,SPHINCS192,SIG,KEYGEN,3,17000000,531250,35062,35.062
4,star,1,100,FALCON512,SIG,KEYGEN,1,10000000,312500,20625,20.625
9,star,1,100,SPHINCS128,SIG,ENCAP_SIGN,1,200000000,6250000,412500,412.5
5,star,1,100,FALCON512,SIG,KEYGEN,1,10000000,312500,20625,20.625
6,star,1,100,SPHINCS192,SIG,KEYGEN,3,17000000,531250,35062,35.062
2,star,1,100,SPHINCS128,SIG,KEYGEN,1,9000000,281250,18562,18.562
8,star,1,100,FALCON512,SIG,DECAP_VERIFY,1,700000,21875,1443,1.443
3,star,1,100,SPHINCS128,SIG,DECAP_VERIFY,1,8000000,250000,16500,16.5
7,star,1,100,SPHINCS192,SIG,ENCAP_SIGN,3,370000000,11562500,763125,763.125
4,star,1,100,FALCON512,SIG,ENCAP_SIGN,1,3000000,93750,6187,6.187
9,star,1,100,SPHINCS128,SIG,DECAP_VERIFY,1,8000000,250000,16500,16.5
5,star,1,100,FALCON512,SIG,ENCAP_SIGN,1,3000000,93750,6187,6.187
6,star,1,100,SPHINCS192,SIG,ENCAP_SIGN,3,370000000,11562500,763125,763.125
2,star,1,100,SPHINCS128,SIG,ENCAP_SIGN,1,200000000,6250000,412500,412.5
8,star,1,100,FALCON1024,SIG,KEYGEN,5,20000000,625000,41250,41.25
3,star,1,100,SPHINCS192,SIG,KEYGEN,3,17000000,531250,35062,35.062
7,star,1,100,SPHINCS192,SIG,DECAP_VERIFY,3,15000000,468750,30937,30.937
4,star,1,100,FALCON512,SIG,DECAP_VERIFY,1,700000,21875,1443,1.443
9,star,1,100,SPHINCS192,SIG,KEYGEN,3,17000000,531250,35062,35.062
5,star,1,100,FALCON512,SIG,DECAP_VERIFY,1,700000,21875,1443,1.443
6,star,1,100,SPHINCS192,SIG,DECAP_VERIFY,3,15000000,468750,30937,30.937
