9,Falcon-1024,SIG,21.5375,0.5619,0.1054,1793,2305,1462
9,ML-DSA-44,SIG,0.0330,0.0945,0.0312,1312,2560,2420
9,ML-DSA-65,SIG,0.0609,0.1703,0.0566,1952,4032,3309
10,Kyber512,KEM,0.0342,0.0141,0.0109,800,1632,768
10,Kyber768,KEM,0.0176,0.0190,0.0148,1184,2400,1088
10,Kyber1024,KEM,0.0230,0.0273,0.0219,1568,3168,1568
10,ML-KEM-512,KEM,0.0171,0.0167,0.0203,800,1632,768
10,ML-KEM-768,KEM,0.0212,0.0237,0.0249,1184,2400,1088
10,ML-KEM-1024,KEM,0.0253,0.0264,0.0283,1568,3168,1568
10,Falcon-512,SIG,7.6927,0.3074,0.0566,897,1281,752
10,Falcon-1024,SIG,22.0550,0.5544,0.1118,1793,2305,1462
10,ML-DSA-44,SIG,0.0329,0.0937,0.0302,1312,2560,2420
10,ML-DSA-65,SIG,0.0533,0.1420,0.0491,1952,4032,3309
11,Kyber512,KEM,0.0602,0.0231,0.0167,800,1632,768
11,Kyber768,KEM,0.0251,0.0282,0.0209,1184,2400,1088
11,Kyber1024,KEM,0.0312,0.0358,0.0295,1568,3168,1568
11,ML-KEM-512,KEM,0.0129,0.0121,0.0133,800,1632,768
11,ML-KEM-768,KEM,0.0161,0.0166,0.0185,1184,2400,1088
11,ML-KEM-1024,KEM,0.0247,0.0264,0.0300,1568,3168,1568
11,Falcon-512,SIG,7.6976,0.2956,0.0607,897,1281,752
11,Falcon-1024,SIG,22.2582,0.5750,0.1071,1793,2305,1462
11,ML-DSA-44,SIG,0.0357,0.0927,0.0324,1312,2560,2420
11,ML-DSA-65,SIG,0.0543,0.1430,0.0514,1952,4032,3309
12,Kyber512,KEM,0.0301,0.0142,0.0103,800,1632,768
12,Kyber768,KEM,0.0169,0.0189,0.0145,1184,2400,1088
12,Kyber1024,KEM,0.0221,0.0259,0.0206,1568,3168,1568
12,ML-KEM-512,KEM,0.0108,0.0121,0.0132,800,1632,768
12,ML-KEM-768,KEM,0.0171,0.0258,0.0201,1184,2400,1088
12,ML-KEM-1024,KEM,0.0235,0.0236,0.0268,1568,3168,1568
12,Falcon-512,SIG,7.3227,0.2810,0.0542,897,1281,752
12,Falcon-1024,SIG,22.7032,0.5760,0.1065,1793,2305,1462
12,ML-DSA-44,SIG,0.0342,0.0928,0.0311,1312,2560,2420
12,ML-DSA-65,SIG,0.0559,0.1434,0.0548,1952,4032,3309
13,Kyber512,KEM,0.0480,0.0228,0.0398,800,1632,768
13,Kyber768,KEM,0.0243,0.0238,0.0182,1184,2400,1088
13,Kyber1024,KEM,0.0277,0.0316,0.0253,1568,3168,1568
13,ML-KEM-512,KEM,0.0116,0.0123,0.0141,800,1632,768
13,ML-KEM-768,KEM,0.0168,0.0175,0.0202,1184,2400,1088
13,ML-KEM-1024,KEM,0.0258,0.0269,0.0293,1568,3168,1568
13,Falcon-512,SIG,10.9649,0.4229,0.0816,897,1281,752
13,Falcon-1024,SIG,30.7638,0.8227,0.1537,1793,2305,1462
13,ML-DSA-44,SIG,0.0370,0.1067,0.0357,1312,2560,2420
13,ML-DSA-65,SIG,0.0666,0.1564,0.0578,1952,4032,3309
14,Kyber512,KEM,0.0393,0.0255,0.0147,800,1632,768
14,Kyber768,KEM,0.0221,0.0243,0.0192,1184,2400,1088
14,Kyber1024,KEM,0.0266,0.0305,0.0243,1568,3168,1568
14,ML-KEM-512,KEM,0.0147,0.0274,0.0199,800,1632,768
14,ML-KEM-768,KEM,0.0191,0.0221,0.0245,1184,2400,1088
14,ML-KEM-1024,KEM,0.0302,0.0316,0.0379,1568,3168,1568
14,Falcon-512,SIG,7.9904,0.3056,0.0587,897,1281,752
14,Falcon-1024,SIG,24.4427,0.6415,0.1170,1793,2305,1462
14,ML-DSA-44,SIG,0.0347,0.0918,0.0318,1312,2560,2420
14,ML-DSA-65,SIG,0.0559,0.1437,0.0518,1952,4032,3309
15,Kyber512,KEM,0.0323,0.0152,0.0110,800,1632,768
15,Kyber768,KEM,0.0217,0.0222,0.0154,1184,2400,1088
15,Kyber1024,KEM,0.0238,0.0294,0.0212,1568,3168,1568
15,ML-KEM-512,KEM,0.0138,0.0124,0.0134,800,1632,768
15,ML-KEM-768,KEM,0.0197,0.0180,0.0199,1184,2400,1088
